excel_row,measurer_code,pedestal_id,pedestal,status_code,success,response
1,MD001,MAP12-MD001,MAP12,201,True,"{""message"":""Measurer Created, Id:1""} (smoke test, not re-posted)"
2,MD002,MAP12-MD002,MAP12,201,True,"{""message"":""Measurer Created, Id:2""} (smoke test, not re-posted)"
3,MD003,MAP34-MD003,MAP34,201,True,"{""message"":""Measurer Created, Id:3""} (smoke test, not re-posted)"
4,MD004,MAP34-MD004,MAP34,201,True,"{""message"":""Measurer Created, Id:4""}"
5,MD005,MAP56-MD005,MAP56,201,True,"{""message"":""Measurer Created, Id:5""}"
6,MD006,MAP56-MD006,MAP56,201,True,"{""message"":""Measurer Created, Id:6""}"
7,MD007,MAP480-MD007,MAP480,201,True,"{""message"":""Measurer Created, Id:7""}"
8,MD008,MBP2729-MD008,MBP2729,201,True,"{""message"":""Measurer Created, Id:8""}"
9,MD009,MBP2729-MD009,MBP2729,201,True,"{""message"":""Measurer Created, Id:9""}"
10,MD010,MBP1921-MD010,MBP1921,201,True,"{""message"":""Measurer Created, Id:10""}"
11,MD011,MBP1921-MD011,MBP1921,201,True,"{""message"":""Measurer Created, Id:11""}"
12,MD012,MBP13480-MD012,MBP13480,201,True,"{""message"":""Measurer Created, Id:12""}"
13,MD013,MBP13208-MD013,MBP13208,201,True,"{""message"":""Measurer Created, Id:13""}"
14,MD014,MBP2325480-MD014,MBP2325480,201,True,"{""message"":""Measurer Created, Id:14""}"
15,MD015,MBP911-MD015,MBP911,201,True,"{""message"":""Measurer Created, Id:15""}"
16,MD016,MBP911-MD016,MBP911,201,True,"{""message"":""Measurer Created, Id:16""}"
17,MD017,MBP911-MD017,MBP911,201,True,"{""message"":""Measurer Created, Id:17""}"
18,MD018,MBP911-MD018,MBP911,201,True,"{""message"":""Measurer Created, Id:18""}"
19,MD019,MBP57-MD019,MBP57,201,True,"{""message"":""Measurer Created, Id:19""}"
20,MD020,MBP57-MD020,MBP57,201,True,"{""message"":""Measurer Created, Id:20""}"
21,MD021,MBP24-MD021,MBP24,201,True,"{""message"":""Measurer Created, Id:21""}"
22,MD022,MBP24-MD022,MBP24,201,True,"{""message"":""Measurer Created, Id:22""}"
23,MD023,MBP24-MD023,MBP24,201,True,"{""message"":""Measurer Created, Id:23""}"
24,MD024,MBP68-MD024,MBP68,201,True,"{""message"":""Measurer Created, Id:24""}"
25,MD025,MBP68-MD025,MBP68,201,True,"{""message"":""Measurer Created, Id:25""}"
26,MD026,MBP68-MD026,MBP68,201,True,"{""message"":""Measurer Created, Id:26""}"
27,MD027,MBP68-MD027,MBP68,201,True,"{""message"":""Measurer Created, Id:27""}"
28,MD028,MBP10480-MD028,MBP10480,201,True,"{""message"":""Measurer Created, Id:28""}"
29,MD029,MBP10208-MD029,MBP10208,201,True,"{""message"":""Measurer Created, Id:29""}"
30,MD030,MBP1214-MD030,MBP1214,201,True,"{""message"":""Measurer Created, Id:30""}"
31,MD031,MBP1214-MD031,MBP1214,201,True,"{""message"":""Measurer Created, Id:31""}"
32,MD032,MBP1214-MD032,MBP1214,201,True,"{""message"":""Measurer Created, Id:32""}"
33,MD033,MBP1214-MD033,MBP1214,201,True,"{""message"":""Measurer Created, Id:33""}"
34,MD034,MBP1618-MD034,MBP1618,201,True,"{""message"":""Measurer Created, Id:34""}"
35,MD035,MBP1618-MD035,MBP1618,201,True,"{""message"":""Measurer Created, Id:35""}"
36,MD036,MBP1618-MD036,MBP1618,201,True,"{""message"":""Measurer Created, Id:36""}"
37,MD037,MBP20480-MD037,MBP20480,201,True,"{""message"":""Measurer Created, Id:37""}"
38,MD038,MBP20208-MD038,MBP20208,201,True,"{""message"":""Measurer Created, Id:38""}"
39,MD039,MBP20240-MD039,MBP20240,201,True,"{""message"":""Measurer Created, Id:39""}"
40,MD040,MBP13240-MD040,MBP13240,201,True,"{""message"":""Measurer Created, Id:40""}"
41,MD041,MBP10240-MD041,MBP10240,201,True,"{""message"":""Measurer Created, Id:41""}"
42,MD042,MBP2325-MD042,MBP2325,201,True,"{""message"":""Measurer Created, Id:42""}"
43,MD043,MBP2325-MD043,MBP2325,201,True,"{""message"":""Measurer Created, Id:43""}"
44,MD044,MBP1517-MD044,MBP1517,201,True,"{""message"":""Measurer Created, Id:44""}"
45,MD045,MBP1517-MD045,MBP1517,201,True,"{""message"":""Measurer Created, Id:45""}"
46,MD336,MBP13-MD336,MBP13,201,True,"{""message"":""Measurer Created, Id:46""}"
47,MD337,MBP13-MD337,MBP13,201,True,"{""message"":""Measurer Created, Id:47""}"
48,MD338,MBP13-MD338,MBP13,201,True,"{""message"":""Measurer Created, Id:48""}"
49,MD347,MBPTX480-MD347,MBPTX480,201,True,"{""message"":""Measurer Created, Id:49""}"
50,MD353,MBPTX480-MD353,MBPTX480,201,True,"{""message"":""Measurer Created, Id:50""}"
51,MD046,MCP12-MD046,MCP12,201,True,"{""message"":""Measurer Created, Id:51""}"
52,MD047,MCP12-MD047,MCP12,201,True,"{""message"":""Measurer Created, Id:52""}"
53,MD048,MCP35-MD048,MCP35,201,True,"{""message"":""Measurer Created, Id:53""}"
54,MD049,MCP35-MD049,MCP35,201,True,"{""message"":""Measurer Created, Id:54""}"
55,MD050,MCP79-MD050,MCP79,201,True,"{""message"":""Measurer Created, Id:55""}"
56,MD051,MCP79-MD051,MCP79,201,True,"{""message"":""Measurer Created, Id:56""}"
57,MD052,MCP1113-MD052,MCP1113,201,True,"{""message"":""Measurer Created, Id:57""}"
58,MD053,MCP1113-MD053,MCP1113,201,True,"{""message"":""Measurer Created, Id:58""}"
59,MD054,MCP1517-MD054,MCP1517,201,True,"{""message"":""Measurer Created, Id:59""}"
60,MD055,MCP1517-MD055,MCP1517,201,True,"{""message"":""Measurer Created, Id:60""}"
61,MD056,MCP1921-MD056,MCP1921,201,True,"{""message"":""Measurer Created, Id:61""}"
62,MD057,MCP1921-MD057,MCP1921,201,True,"{""message"":""Measurer Created, Id:62""}"
63,MD058,MCP2325-MD058,MCP2325,201,True,"{""message"":""Measurer Created, Id:63""}"
64,MD059,MCP2325-MD059,MCP2325,201,True,"{""message"":""Measurer Created, Id:64""}"
65,MD060,MCP2729-MD060,MCP2729,201,True,"{""message"":""Measurer Created, Id:65""}"
66,MD061,MCP2729-MD061,MCP2729,201,True,"{""message"":""Measurer Created, Id:66""}"
67,MD062,MCP3133-MD062,MCP3133,201,True,"{""message"":""Measurer Created, Id:67""}"
68,MD063,MCP3133-MD063,MCP3133,201,True,"{""message"":""Measurer Created, Id:68""}"
69,MD064,MCP4035-MD064,MCP4035,201,True,"{""message"":""Measurer Created, Id:69""}"
70,MD065,MCP4035-MD065,MCP4035,201,True,"{""message"":""Measurer Created, Id:70""}"
71,MD066,MCP3638-MD066,MCP3638,201,True,"{""message"":""Measurer Created, Id:71""}"
72,MD067,MCP3638-MD067,MCP3638,201,True,"{""message"":""Measurer Created, Id:72""}"
73,MD068,MCP3234-MD068,MCP3234,201,True,"{""message"":""Measurer Created, Id:73""}"
74,MD069,MCP3234-MD069,MCP3234,201,True,"{""message"":""Measurer Created, Id:74""}"
75,MD070,MCP2830-MD070,MCP2830,201,True,"{""message"":""Measurer Created, Id:75""}"
76,MD071,MCP2830-MD071,MCP2830,201,True,"{""message"":""Measurer Created, Id:76""}"
77,MD072,MCP2426-MD072,MCP2426,201,True,"{""message"":""Measurer Created, Id:77""}"
78,MD073,MCP2426-MD073,MCP2426,201,True,"{""message"":""Measurer Created, Id:78""}"
79,MD074,MCP2022-MD074,MCP2022,201,True,"{""message"":""Measurer Created, Id:79""}"
80,MD075,MCP2022-MD075,MCP2022,201,True,"{""message"":""Measurer Created, Id:80""}"
81,MD076,MCP1618-MD076,MCP1618,201,True,"{""message"":""Measurer Created, Id:81""}"
82,MD077,MCP1618-MD077,MCP1618,201,True,"{""message"":""Measurer Created, Id:82""}"
83,MD078,MCP1214-MD078,MCP1214,201,True,"{""message"":""Measurer Created, Id:83""}"
84,MD079,MCP1214-MD079,MCP1214,201,True,"{""message"":""Measurer Created, Id:84""}"
85,MD080,MCP810-MD080,MCP810,201,True,"{""message"":""Measurer Created, Id:85""}"
86,MD081,MCP810-MD081,MCP810,201,True,"{""message"":""Measurer Created, Id:86""}"
87,MD082,MCP46-MD082,MCP46,201,True,"{""message"":""Measurer Created, Id:87""}"
